"cYr","pptAvg","tminAvg","tmaxAvg","tmeanAvg","tAvg"
1900,1030.83529336443,2.83160576820475,14.3676400893279,8.59962292876634,8.59962292876632
1901,1256.53063291718,2.28904399323181,12.9420855627201,7.61556477797594,7.61556477797595
1902,1355.24486760873,2.05928442401792,13.1654533086386,7.61236886632826,7.61236886632825
1903,1350.73835048246,1.98698198198199,13.0254976296093,7.50623980579565,7.50623980579565
1904,1058.93553528147,0.564749508391642,11.6386251352876,6.10168732183961,6.10168732183961
1905,1028.43901495404,1.51244401762168,13.0188716254325,7.2656578215271,7.26565782152711
1906,1107.41664288654,2.3783428987363,13.5562670157467,7.96730495724151,7.96730495724151
1907,1123.72802030457,0.881789721193275,12.3288019618603,6.6052958415268,6.60529584152681
1908,973.801221017973,1.94904849011447,14.1447469550769,8.04689772259568,8.04689772259568
1909,987.070524534687,1.90003323120075,13.4635915611043,7.6818123961525,7.6818123961525
1910,963.941174372342,1.64648968765721,13.5958595524458,7.62117462005153,7.62117462005153
1911,1125.85374033932,2.22375748845291,13.8191581302114,8.02145780933217,8.02145780933217
1912,1088.97534595509,1.43836686940748,13.1684199554885,7.30339341244798,7.30339341244798
1913,1111.59757259798,2.95378523193245,15.0731992652551,9.01349224859377,9.01349224859378
1914,1006.73934970504,1.13344434536059,13.1369204737733,7.13518240956693,7.13518240956693
1915,1167.14613435771,2.25853214890017,13.6611033368394,7.95981774286977,7.95981774286977
1916,1091.60709653816,1.52672897516806,13.1669372037012,7.34683308943461,7.34683308943461
1917,1022.5414711666,0.636620745110592,11.8751025898995,6.25586166750507,6.25586166750507
1918,1057.58424658161,1.51597967256597,13.8859684303593,7.70097405146264,7.70097405146263
1919,1171.85508620295,2.52089781405772,13.9040998993918,8.21249885672476,8.21249885672474
1920,1299.81999862807,1.54604998399414,12.9878708022744,7.26696039313426,7.26696039313425
1921,1041.65937394247,3.02699657779607,15.2773737061935,9.15218514199479,9.15218514199479
1922,1059.72598207344,2.1017425801436,14.2394827060563,8.17061264309996,8.17061264309995
1923,1029.19446197466,1.30936048993155,13.8241137330224,7.56673711147696,7.56673711147695
1924,1013.57679745736,0.936757480831091,12.9990285590159,6.96789301992348,6.96789301992348
1925,1125.50836877487,1.7357497599122,13.8778676011037,7.80680868050791,7.80680868050792
1926,1112.20052087621,0.86635539092392,12.4807611545556,6.67355827273975,6.67355827273974
1927,1330.49893766863,2.09377902013689,13.8482194250088,7.97099922257283,7.97099922257282
1928,1152.55173457722,2.37810883218244,13.6908932409567,8.03450103656957,8.03450103656957
1929,1133.21188869072,2.04559034923248,14.0570514550083,8.0513209021204,8.05132090212039
1930,867.219613115654,2.11156400054876,14.5225777046082,8.31707085257847,8.31707085257846
1931,967.841561256689,3.18980968277922,14.8628365802351,9.02632313150714,9.02632313150714
1932,1159.93601317053,2.41624079663419,14.3420928796817,8.37916683815796,8.37916683815796
1933,1196.64276032378,2.60815433453759,14.1160716300056,8.36211298227161,8.36211298227161
1934,1132.02839118306,1.5212619853356,13.6604607399277,7.59086136263167,7.59086136263167
1935,1091.71680706087,1.69228037682353,13.2031160729257,7.44769822487462,7.44769822487463
1936,1153.56323318242,1.88321161262786,13.9039242923126,7.89356795247024,7.89356795247023
1937,1239.40811359583,2.64642120546943,13.8423718007347,8.24439650310209,8.24439650310208
1938,1279.28931769333,2.74434943827076,14.5567006600509,8.65052504916083,8.65052504916083
1939,971.698414963187,2.19292049663877,14.1620791222695,8.17749980945412,8.17749980945412
1940,1179.48136004024,1.01627581896618,12.1467768021829,6.58152631057454,6.58152631057453
1941,863.813593542782,1.94308608100486,14.6367347296535,8.28991040532919,8.28991040532919
1942,1333.28846389537,2.30218537064984,13.9160288715111,8.10910712108048,8.10910712108047
1943,1019.01185713632,1.47796980991144,13.5858664120974,7.53191811100441,7.5319181110044
1944,1006.47591759272,1.95232980442371,14.0252206902334,7.98877524732854,7.98877524732855
1945,1427.30480129876,2.03846591515372,13.8149678358562,7.92671687550494,7.92671687550494
1946,998.179334613801,2.31348085395039,14.917774119297,8.61562748662366,8.61562748662368
1947,1248.37135592445,2.04308086004786,13.8219296580845,7.93250525906617,7.93250525906617
1948,1184.61112544016,1.71344613649182,14.0016617505831,7.85755394353745,7.85755394353745
1949,996.918494992454,3.13114655264401,15.5138620219204,9.32250428728222,9.3225042872822
1950,1215.8585873691,1.8686593192177,13.3614244828585,7.61504190103809,7.6150419010381
1951,1335.58831664151,2.29999573177238,13.95712622521,8.12856097849118,8.12856097849118
