"yr","mon","yrmon","seas","tmin","tmax","tmean","ppt"
1900,1,1900.041666666,"Win",-7.75193341869398,1.93394366197183,-2.90899487836108,77.8122407170295
1900,2,1900.12499999933,"Win",-8.67404609475032,1.5314980793854,-3.57127400768246,131.609398207426
1900,3,1900.20833333267,"Spr",-6.72507042253521,4.03843790012804,-1.34331626120359,92.6187323943662
1900,4,1900.291666666,"Spr",2.08090909090909,15.0233930857875,8.55215108834827,52.7690012804097
1900,5,1900.37499999933,"Spr",6.84728553137004,22.2099359795134,14.5286107554417,94.1701024327785
1900,6,1900.45833333267,"Sum",13.0061203585147,26.8356594110115,19.9208898847631,94.4489628681178
1900,7,1900.541666666,"Sum",15.3310883482714,29.4528937259923,22.3919910371319,118.708015364917
1900,8,1900.62499999933,"Sum",15.6871446862996,29.4807554417414,22.5839500640205,56.3937259923175
1900,9,1900.70833333267,"Fal",12.2371959026889,25.4989116517286,18.8680537772087,56.9911011523688
1900,10,1900.791666666,"Fal",7.88932138284251,19.3356978233035,13.612509603073,56.5939564660691
1900,11,1900.87499999933,"Fal",0.780102432778489,10.1234186939821,5.45176056338028,85.446376440461
1900,12,1900.95833333267,"Win",-7.14828425096031,2.70711907810499,-2.22058258642766,67.2722919334187
1901,1,1901.041666666,"Win",-7.88957746478873,1.0459795134443,-3.42179897567221,46.0502432778489
1901,2,1901.12499999933,"Win",-11.4588092189501,-2.25190781049936,-6.85535851472471,23.3560563380282
1901,3,1901.20833333267,"Spr",-3.91830985915493,5.94323943661972,1.01246478873239,125.244366197183
1901,4,1901.291666666,"Spr",2.73933418693982,13.1080409731114,7.92368758002561,151.948745198464
1901,5,1901.37499999933,"Spr",8.15067861715749,19.712138284251,13.9314084507042,148.182842509603
1901,6,1901.45833333267,"Sum",12.504609475032,27.1918309859155,19.8482202304738,59.3855057618438
1901,7,1901.541666666,"Sum",17.9822407170294,29.767861715749,23.8750512163892,139.105454545455
1901,8,1901.62499999933,"Sum",15.4645070422535,26.7838796414853,21.1241933418694,188.618834827145
1901,9,1901.70833333267,"Fal",10.5325224071703,23.4126120358515,16.9725672215109,92.4528937259923
1901,10,1901.791666666,"Fal",2.93441741357234,17.2819078104994,10.1081626120359,46.741895006402
1901,11,1901.87499999933,"Fal",-3.438847631242,5.30135723431498,0.931254801536491,55.6818053777209
1901,12,1901.95833333267,"Win",-7.84554417413572,2.26183098591549,-2.79185659411011,183.594596670935
1902,1,1902.041666666,"Win",-10.2260307298335,-0.171229193341869,-5.19862996158771,73.2598079385403
1902,2,1902.12499999933,"Win",-10.0827528809219,-0.778745198463508,-5.4307490396927,136.323444302177
1902,3,1902.20833333267,"Spr",-1.1328681177977,9.85727272727273,4.36220230473752,100.047938540333
1902,4,1902.291666666,"Spr",2.24798975672215,14.4329193341869,8.34045454545455,86.9479769526248
1902,5,1902.37499999933,"Spr",6.98445582586428,20.9685659411012,13.9765108834827,63.882138284251
1902,6,1902.45833333267,"Sum",10.8111267605634,24.3449551856594,17.5780409731114,145.058860435339
1902,7,1902.541666666,"Sum",14.9603841229193,26.5091805377721,20.7347823303457,158.431434058899
1902,8,1902.62499999933,"Sum",12.1590781049936,25.6728681177977,18.9159731113956,87.1932650448143
1902,9,1902.70833333267,"Fal",10.0554673495519,21.6697311139565,15.8625992317542,185.360883482714
1902,10,1902.791666666,"Fal",5.12752880921895,16.15423815621,10.6408834827145,128.619910371319
1902,11,1902.87499999933,"Fal",1.29,12.9461843790013,7.11809218950064,29.9501280409731
1902,12,1902.95833333267,"Win",-9.10864276568502,0.95719590268886,-4.07572343149808,162.815352112676
1903,1,1903.041666666,"Win",-8.81110115236876,0.482676056338028,-4.16421254801536,80.7760691421255
1903,2,1903.12499999933,"Win",-7.32886043533931,2.83449423815621,-2.24718309859155,108.330883482714
1903,3,1903.20833333267,"Spr",0.841177976952625,12.5084122919334,6.67479513444302,116.438886043534
1903,4,1903.291666666,"Spr",1.73129321382843,14.7814724711908,8.2563828425096,81.5072343149808
1903,5,1903.37499999933,"Spr",7.20933418693982,23.5248527528809,15.3670934699104,16.246914212548
1903,6,1903.45833333267,"Sum",10.7523431498079,21.459218950064,16.105781049936,258.36099871959
1903,7,1903.541666666,"Sum",14.0769910371319,26.9424455825864,20.5097183098592,111.338629961588
1903,8,1903.62499999933,"Sum",12.2921254801537,22.835966709347,17.5640460947503,175.393098591549
1903,9,1903.70833333267,"Fal",9.71664532650448,22.6585915492958,16.1876184379001,48.0923687580026
1903,10,1903.791666666,"Fal",5.60088348271447,15.9922663252241,10.7965749039693,232.683610755442
1903,11,1903.87499999933,"Fal",-3.69113956466069,7.17932138284251,1.74409090909091,48.4109090909091
1903,12,1903.95833333267,"Win",-10.4248783610755,-0.34719590268886,-5.3860371318822,97.9072471190781
1904,1,1904.041666666,"Win",-13.7281434058899,-3.48869398207426,-8.60841869398207,89.060781049936
1904,2,1904.12499999933,"Win",-12.7479513444302,-1.94248399487836,-7.34521766965429,49.7324327784891
1904,3,1904.20833333267,"Spr",-4.58693982074264,4.66393085787452,0.038495518565941,83.2262612035852
1904,4,1904.291666666,"Spr",0.291856594110115,11.9353649167734,6.11361075544174,81.8197439180538
1904,5,1904.37499999933,"Spr",8.53491677336748,23.0285147247119,15.7817157490397,84.4466965428937
1904,6,1904.45833333267,"Sum",12.5085403329065,25.3522023047375,18.930371318822,94.5596542893726
1904,7,1904.541666666,"Sum",14.557900128041,26.3950960307298,20.4764980793854,96.9815364916773
1904,8,1904.62499999933,"Sum",12.5615364916773,25.4857234314981,19.0236299615877,121.517234314981
1904,9,1904.70833333267,"Fal",9.83357234314981,21.8530729833547,15.8433226632522,123.474929577465
1904,10,1904.791666666,"Fal",1.54240717029449,15.1595006402049,8.35095390524968,100.872893725992
1904,11,1904.87499999933,"Fal",-3.21277848911652,6.78725992317542,1.78724071702945,42.9423175416133
1904,12,1904.95833333267,"Win",-10.4513700384123,-1.0303457106274,-5.74085787451985,62.7519206145967
1905,1,1905.041666666,"Win",-10.7522535211268,-1.41180537772087,-6.08202944942382,118.702394366197
1905,2,1905.12499999933,"Win",-14.0727528809219,-1.9033290653009,-7.9880409731114,36.130371318822
1905,3,1905.20833333267,"Spr",-5.12380281690141,7.59828425096031,1.23724071702945,88.5279129321383
1905,4,1905.291666666,"Spr",1.4243661971831,14.7201920614597,8.07227912932138,49.2432394366197
1905,5,1905.37499999933,"Spr",8.33688860435339,21.3422663252241,14.8395774647887,39.2465685019206
1905,6,1905.45833333267,"Sum",12.2218565941101,25.0118437900128,18.6168501920615,75.917861715749
1905,7,1905.541666666,"Sum",15.5799615877081,27.7955057618438,21.6877336747759,98.8794622279129
1905,8,1905.62499999933,"Sum",13.2136875800256,25.2224583866837,19.2180729833547,137.412778489117
1905,9,1905.70833333267,"Fal",10.149218950064,22.2969526248399,16.223085787452,139.124967989757
1905,10,1905.791666666,"Fal",3.75640204865557,17.3039180537772,10.5301600512164,87.1682330345711
1905,11,1905.87499999933,"Fal",-3.32274007682458,8.60012804097311,2.63869398207426,57.0776440460947
