"cYr","pptAvg","tminAvg","tmaxAvg","tmeanAvg","tAvg"
1900,963.969277982858,6.73576576153831,19.3647203278483,13.0502430446933,13.0502430446933
1901,1253.12324156917,5.39259942855951,17.747553442199,11.5700764353793,11.5700764353792
1902,1140.99438027905,5.43595012409018,18.5723514046174,12.0041507643538,12.0041507643538
1903,1116.09713820935,5.32075601159565,18.1400403032389,11.7303981574173,11.7303981574173
1904,869.311539135332,4.40368568687565,17.5713629585601,10.9875243227179,10.9875243227179
1905,1123.44662141025,5.41481365617635,18.3023706959478,11.8585921760621,11.8585921760621
1906,1228.72005818682,6.49825184049719,18.6889271934764,12.5935895169868,12.5935895169868
1907,1146.97306575737,5.12868891947695,17.831217178669,11.479953049073,11.479953049073
1908,1126.33584746293,5.72054093933137,18.7862209326576,12.2533809359945,12.2533809359945
1909,912.671628605393,5.6832289515944,18.7914194248055,12.2373241882,12.2373241882
1910,1005.70198961397,5.49467877327995,18.271223956704,11.882951364992,11.882951364992
1911,1057.55308702997,6.52186604517298,19.1042899226261,12.8130779838996,12.8130779838996
1912,1123.40158668585,5.61113745854971,18.0007766063943,11.805957032472,11.805957032472
1913,1058.09332353125,6.92813447621432,19.2324367557196,13.080285615967,13.080285615967
1914,902.317496089596,5.66424028655447,18.0712190035246,11.8677296450395,11.8677296450395
1915,1105.16675342551,6.01003545433689,18.1609520532232,12.0854937537801,12.08549375378
1916,1041.14725896265,5.58187949696552,18.484003368162,12.0329414325638,12.0329414325638
1917,986.034637427267,4.5766353312895,17.1365381968341,10.8565867640618,10.8565867640618
1918,1088.57332853657,5.59228435420968,18.3632159169117,11.9777501355607,11.9777501355607
1919,1084.00161233811,6.30535767169284,18.9131758222278,12.6092667469603,12.6092667469603
1920,1123.33646499406,5.56257992867421,17.6006303572546,11.5816051429644,11.5816051429644
1921,897.883851592317,7.22087311518488,20.0899884252018,13.6554307701933,13.6554307701933
1922,981.155366952387,6.58428152829048,19.0811540386661,12.8327177834783,12.8327177834783
1923,956.162264906463,6.0054213852218,18.6707006924023,12.3380610388121,12.3380610388121
1924,1214.44189013327,4.9422546872719,17.3573883709775,11.1498215291247,11.1498215291247
1925,839.955231808797,5.85942141650503,18.9786374585497,12.4190294375274,12.4190294375274
1926,1113.72933616968,5.4831593985276,18.0391496694404,11.761154533984,11.761154533984
1927,1011.50070387287,6.33090252142902,19.0026333187345,12.6667679200817,12.6667679200818
1928,1074.60883125821,5.79956703997997,18.5050719514484,12.1523194957142,12.1523194957142
1929,1116.10030219608,5.82284286429331,18.8094693841373,12.3161561242153,12.3161561242153
1930,549.943416129638,5.83628365555069,19.8730184675384,12.8546510615446,12.8546510615446
1931,923.886273540637,7.0567517049365,19.8059742121838,13.4313629585601,13.4313629585601
1932,1176.25985422011,6.33925472898287,19.6053824375899,12.9723185832864,12.9723185832864
1933,1069.50502659075,6.67576998477549,19.280296252268,12.9780331185218,12.9780331185218
1934,1095.22595132328,5.90527534463701,18.8373841998791,12.371329772258,12.371329772258
1935,1123.96861164988,6.00409341174998,17.992846983253,11.9984701975015,11.9984701975015
1936,1104.26218857536,6.01523754405723,18.6527265949238,12.3339820694905,12.3339820694905
1937,1399.83117312144,6.31943419049406,18.233902479718,12.2766683351061,12.276668335106
1938,951.269735969468,6.65295282487643,19.1712773467643,12.9121150858204,12.9121150858203
1939,982.987086904835,6.5906536111285,19.1585109699889,12.8745822905587,12.8745822905587
1940,1175.04581054871,5.15728784750463,17.4842189618136,11.3207534046591,11.3207534046591
1941,760.936795345055,5.85336863125403,19.7418096310663,12.7975891311602,12.7975891311602
1942,1361.06665582181,6.3025061002315,18.7242005047029,12.5133533024672,12.5133533024672
1943,836.639709691547,5.74468179732632,19.2457696719431,12.4952257346347,12.4952257346347
1944,1083.3915503973,6.05590601472399,18.9429225844126,12.4994142995683,12.4994142995683
1945,1115.41205843709,6.1141399194978,19.013293707898,12.5637168136979,12.5637168136979
1946,927.687370330977,6.25520381029845,19.6061985130034,12.9307011616509,12.9307011616509
1947,958.480944128135,5.82757674821164,18.3770610961647,12.1023189221882,12.1023189221882
1948,1374.61420321592,6.11005266011805,18.4834636280214,12.2967581440697,12.2967581440697
1949,1150.85888131139,7.10433465765708,19.4767329871322,13.2905338223946,13.2905338223946
1950,1056.94903522493,5.92067968049385,18.3617362197335,12.1412079501137,12.1412079501137
1951,1035.41376775324,6.00250792508707,19.0152701307639,12.5088890279255,12.5088890279255
1952,1234.4166276669,6.40596446224114,19.1795401363949,12.792752299318,12.792752299318
1953,927.738614152537,6.5640817326743,20.2799755469353,13.4220286398048,13.4220286398048
1954,999.210386035161,6.068014869966,19.4627847296085,12.7653997997873,12.7653997997873
1955,992.216716511293,6.03049646499404,19.0457588792258,12.5381276721099,12.5381276721099
1956,1012.81666458112,6.18516230786878,18.9192155727961,12.5521889403324,12.5521889403324
1957,961.849737220797,6.42031804625748,19.0436182193581,12.7319681328078,12.7319681328078
1958,1061.83105361947,5.13942944586957,17.4704539719285,11.304941708899,11.304941708899
1959,1018.89866107739,6.27264259942856,19.6258860977288,12.9492643485787,12.9492643485787
1960,983.682574610522,5.09340533692048,17.9892120795011,11.5413087082108,11.5413087082108
1961,1166.23476443721,5.75504228451063,18.2519246491063,12.0034834668085,12.0034834668085
1962,1029.97528061065,5.27317806419321,17.7202722163132,11.4967251402532,11.4967251402532
1963,778.557580554339,4.5338182756679,18.5021436839142,11.517980979791,11.517980979791
1964,910.179693424263,5.53358234791133,18.9499904064735,12.2417863771924,12.2417863771924
1965,802.411927673153,5.64483466808484,18.8826689816263,12.2637518248556,12.2637518248556
1966,1006.33720327848,4.88612035704603,18.0130455275397,11.4495829422928,11.4495829422929
1967,1006.89198711131,4.87657401614215,17.8987234353167,11.3876487257294,11.3876487257294
1968,899.454881436527,5.04667636447057,18.353631983983,11.7001541742268,11.7001541742268
1969,1058.00016830382,5.33595867484201,17.6362244259526,11.4860915503973,11.4860915503973
1970,986.113820934742,5.77523045318985,18.44029781643,12.1077641348099,12.1077641348099
1971,1170.32556779078,5.95116399716365,18.3735972595883,12.162380628376,12.162380628376
1972,1477.82618907589,5.72801195019708,17.7671740286555,11.7475929894263,11.7475929894263
1973,1175.98417818933,6.52103662224447,18.7902423408205,12.6556394815325,12.6556394815325
1974,1000.44767440405,5.9716558739494,18.753962126426,12.3628090001877,12.3628090001877
1975,1296.36791403366,6.21048535944441,18.4023097979103,12.3063975786774,12.3063975786774
1976,1104.45653194019,4.83754843688084,18.2632154998019,11.5503819683414,11.5503819683414
1977,891.113075768004,5.72049323239276,18.5912129554318,12.1558530939123,12.1558530939123
1978,1090.08709065883,5.05530965192184,17.6110250474463,11.333167349684,11.333167349684
1979,1449.69226052681,5.499656301487,17.5629276940082,11.5312919977476,11.5312919977476
1980,899.501768754301,5.42094146906087,18.3067582222778,11.8638498456693,11.8638498456694
1981,906.01189201026,5.01574240338693,17.9582721224635,11.4870072629252,11.4870072629252
1982,1099.86343740224,5.65408058562221,18.3143586414732,11.9842196135477,11.9842196135477
