"cYr","pptAvg","tminAvg","tmaxAvg","tmeanAvg","tAvg"
1900,1103.68603595891,5.51843535958904,17.5389925799087,11.5287139697489,11.5287139697489
1901,1388.04255993151,4.09435074200914,15.965799086758,10.0300749143836,10.0300749143836
1902,1370.25926369863,4.07929580479451,16.8476812214612,10.4634885131278,10.4634885131278
1903,1254.78488013699,4.01009845890411,16.4092130422374,10.2096557505708,10.2096557505708
1904,972.347422945206,3.11982234589042,15.8253381849315,9.47258026541097,9.47258026541096
1905,1280.47112157534,4.18978239155251,16.5658426084475,10.3778125,10.3778125
1906,1409.46664383562,5.31903752853882,16.9310545091324,11.1250460188356,11.1250460188356
1907,1307.12890410959,3.9532270262557,16.0395933219178,9.99641017408677,9.99641017408675
1908,1324.69460616438,4.54634988584475,17.0161865011416,10.7812681934932,10.7812681934932
1909,1066.10175513699,4.5335502283105,16.9903695776256,10.761959902968,10.761959902968
1910,1187.6413869863,4.3392258847032,16.4955279680365,10.4173769263699,10.4173769263699
1911,1215.81047945205,5.35265196917808,17.3185730593607,11.3356125142694,11.3356125142694
1912,1426.89482020548,4.44407748287671,16.2462335901827,10.3451555365297,10.3451555365297
1913,1196.02767123288,5.77439497716895,17.4346582477169,11.6045266124429,11.6045266124429
1914,1055.63059931507,4.46959332191781,16.2464804509132,10.3580368864155,10.3580368864155
1915,1279.49618150685,4.81019406392695,16.3395583618722,10.5748762128996,10.5748762128996
1916,1228.71862157534,4.38975456621004,16.668993293379,10.5293739297945,10.5293739297945
1917,1122.55442636986,3.39226312785389,15.3104337899543,9.35134845890411,9.35134845890411
1918,1208.94159246575,4.37447060502283,16.5550734874429,10.4647720462329,10.4647720462329
1919,1308.5180479452,5.1004537671233,17.1026505422374,11.1015521546804,11.1015521546804
1920,1307.0877739726,4.38920305365297,15.7930993150685,10.0911511843607,10.0911511843607
1921,1080.96149828767,6.03260987442923,18.3012136130137,12.1669117437215,12.1669117437215
1922,1136.1176369863,5.3632412956621,17.3230122716895,11.3431267836758,11.3431267836758
1923,1162.7696489726,4.76726598173516,16.8408647260274,10.8040653538813,10.8040653538813
1924,1430.17118150685,3.71753424657534,15.5335951769406,9.62556471175798,9.62556471175798
1925,982.958287671232,4.63941638127854,17.1617622716895,10.900589326484,10.900589326484
1926,1255.32690924658,4.26654180936074,16.2400663527397,10.2533040810502,10.2533040810502
1927,1154.95392123288,5.11770262557078,17.2415632134703,11.1796329195206,11.1796329195205
