"yr","mon","yrmon","seas","tmin","tmax","tmean","ppt"
1900,1,1900.041666666,"Win",-4.41758550144541,8.60069290638203,2.09155370246831,86.0538519012675
1900,2,1900.12499999933,"Win",-4.31705759395152,7.41974249499667,1.55134245052257,197.44745474761
1900,3,1900.20833333267,"Spr",0.0679742050255726,12.2639123860351,6.16594329553035,143.605915054481
1900,4,1900.291666666,"Spr",5.49048832555037,19.3070420280187,12.3987651767845,136.377214587503
1900,5,1900.37499999933,"Spr",9.15511896820102,24.3151727818546,16.7351458750278,49.1681040693796
1900,6,1900.45833333267,"Sum",15.566808983767,25.5333182121414,20.5500635979542,268.399066044029
1900,7,1900.541666666,"Sum",16.5764669779853,28.7853511229709,22.6809090504781,124.250265065599
1900,8,1900.62499999933,"Sum",16.3381276406493,30.3971892372693,23.3676584389593,61.1937949744274
1900,9,1900.70833333267,"Fal",13.9444745385813,27.5574689793195,20.7509717589504,96.9394667556148
1900,10,1900.791666666,"Fal",9.84341205247943,22.189588169891,16.0165001111852,93.3309873248833
1900,11,1900.87499999933,"Fal",2.00591327551701,14.930664442962,8.46828885923949,125.458159217256
1900,12,1900.95833333267,"Win",-2.25797287080276,9.62882277073605,3.68542494996664,108.336431843451
1901,1,1901.041666666,"Win",-2.89953969312875,8.59388481209695,2.8471725594841,136.867427173671
1901,2,1901.12499999933,"Win",-4.6482953079831,7.35626462085835,1.35398465643763,60.1063268845897
1901,3,1901.20833333267,"Spr",0.469293751389815,13.705645986213,7.08746986880142,174.445699355126
1901,4,1901.291666666,"Spr",2.92830953969313,14.4258350011119,8.67707227040249,174.236599066044
1901,5,1901.37499999933,"Spr",9.06913586835668,23.2278736935735,16.1485047809651,182.732717811875
1901,6,1901.45833333267,"Sum",14.5111501000667,27.1973302201468,20.8542401601067,160.429007782966
1901,7,1901.541666666,"Sum",16.5533195463642,30.0408387814098,23.297079163887,94.5669713142095
1901,8,1901.62499999933,"Sum",15.6895583722482,26.2311567711808,20.9603575717145,381.460422948632
1901,9,1901.70833333267,"Fal",11.4492973093173,23.4929255058928,17.4711114076051,103.136245052257
1901,10,1901.791666666,"Fal",4.43392394929953,20.5781307538359,12.5060273515677,28.7766248610185
1901,11,1901.87499999933,"Fal",-2.3216490993996,11.6542828552368,4.66631687791861,33.1829868801423
1901,12,1901.95833333267,"Win",-4.1789148321103,7.3359444073827,1.5785147876362,270.024966422059
1902,1,1902.041666666,"Win",-4.04119057149211,7.81844251723371,1.8886259728708,91.5010971758951
1902,2,1902.12499999933,"Win",-5.03379452968646,5.07920658216589,0.0227060262397152,170.065987102513
1902,3,1902.20833333267,"Spr",1.29614276184123,13.7159822103625,7.50606248610185,158.320101400934
1902,4,1902.291666666,"Spr",4.32664932177007,17.3824643095397,10.8545568156549,55.3386964643095
1902,5,1902.37499999933,"Spr",12.1561907938626,25.881184345119,19.0186875694908,68.2832283744719
1902,6,1902.45833333267,"Sum",14.2041396486547,27.8496953524572,21.0269175005559,130.757774961085
1902,7,1902.541666666,"Sum",16.2372626195241,29.3653013119858,22.8012819657549,74.4656370913943
1902,8,1902.62499999933,"Sum",15.5816041805648,28.7980222370469,22.1898132088059,72.4246493217701
1902,9,1902.70833333267,"Fal",11.5108770291305,23.7460493662442,17.6284631976873,151.942240160107
1902,10,1902.791666666,"Fal",6.78458350011119,20.7178536802313,13.7512185901712,59.4160155659329
1902,11,1902.87499999933,"Fal",4.39773226595508,17.3656032910829,10.881667778519,105.805180787191
1902,12,1902.95833333267,"Win",-1.59545786079609,8.83106204136091,3.61780209028241,125.189341783411
1903,1,1903.041666666,"Win",-3.49428730264621,7.65352990882811,2.07962130309095,82.3499604180565
1903,2,1903.12499999933,"Win",-1.60401956860129,10.9827227040249,4.68935156771181,270.919240382477
1903,3,1903.20833333267,"Spr",6.30299844340672,16.2430478096509,11.2730231265288,240.519718923727
1903,4,1903.291666666,"Spr",5.06672937513898,17.9108570157883,11.4887931954636,162.431104736491
1903,5,1903.37499999933,"Spr",11.088187680676,24.1464256170781,17.617306648877,81.2949437402713
1903,6,1903.45833333267,"Sum",12.4873257727374,24.1358652434957,18.3115955081165,194.108663108739
1903,7,1903.541666666,"Sum",15.851104736491,28.669104736491,22.260104736491,112.791140760507
1903,8,1903.62499999933,"Sum",16.0497055814988,28.435804758728,22.2427551701134,111.483917278185
1903,9,1903.70833333267,"Fal",11.0860671558817,25.4272337113631,18.2566504336224,40.5172790749388
1903,10,1903.791666666,"Fal",5.04840426951301,20.5467520569268,12.7975781632199,64.3463904825439
1903,11,1903.87499999933,"Fal",-0.36390527018012,12.1896708917056,5.91288281076273,87.888166333111
1903,12,1903.95833333267,"Win",-5.91181454302869,6.57395285746053,0.331069157215921,54.6763006448744
1904,1,1904.041666666,"Win",-5.35424104958862,6.7841458750278,0.714952412719591,86.5955490326885
1904,2,1904.12499999933,"Win",-2.81729775405826,9.2160440293529,3.19937313764732,95.3194422948632
1904,3,1904.20833333267,"Spr",2.612245496998,14.6334889926618,8.62286724482989,157.901142984212
1904,4,1904.291666666,"Spr",3.64317500555926,16.6271892372693,10.1351821214143,70.1575032243718
1904,5,1904.37499999933,"Spr",9.3794534133867,23.5087885256838,16.4441209695352,98.0082695130087
1904,6,1904.45833333267,"Sum",13.7340475872804,27.1298390037803,20.4319432955304,97.2899261730042
