"yr","mon","yrmon","seas","tmin","tmax","tmean","ppt"
1900,1,1900.041666666,"Win",-5.30684931506849,5.60392123287671,0.148535958904109,88.7907020547945
1900,2,1900.12499999933,"Win",-6.87963184931507,4.55893835616438,-1.16034674657534,110.684280821918
1900,3,1900.20833333267,"Spr",-3.30656678082192,7.98610445205479,2.33976883561644,89.6524657534247
1900,4,1900.291666666,"Spr",4.14632705479452,16.7231934931507,10.4347602739726,67.9933561643836
1900,5,1900.37499999933,"Spr",8.6727397260274,23.6865325342466,16.179636130137,68.5379280821918
1900,6,1900.45833333267,"Sum",14.4980821917808,25.4457106164384,19.9718964041096,140.392465753425
1900,7,1900.541666666,"Sum",16.0957020547945,29.5930136986301,22.8443578767123,98.7065496575343
1900,8,1900.62499999933,"Sum",17.1829537671233,30.6560102739726,23.9194820205479,53.0058304794521
1900,9,1900.70833333267,"Fal",14.531772260274,27.081147260274,20.806459760274,119.881952054795
1900,10,1900.791666666,"Fal",9.13115582191781,19.8525684931507,14.4918621575342,83.9109931506849
1900,11,1900.87499999933,"Fal",2.31877568493151,12.9991352739726,7.65895547945205,97.9630308219178
1900,12,1900.95833333267,"Win",-4.86323630136986,6.2816352739726,0.70919948630137,84.1664811643836
1901,1,1901.041666666,"Win",-5.15422089041096,5.06316780821918,-0.0455265410958905,72.2606421232877
1901,2,1901.12499999933,"Win",-8.16290239726027,2.80267123287671,-2.68011558219178,20.2318664383562
1901,3,1901.20833333267,"Spr",-0.934315068493151,10.8494948630137,4.95758989726027,95.0963270547945
1901,4,1901.291666666,"Spr",2.53145547945206,13.3025428082192,7.91699914383562,169.824897260274
1901,5,1901.37499999933,"Spr",8.93917808219178,20.9521489726027,14.9456635273973,173.576952054795
1901,6,1901.45833333267,"Sum",13.9575941780822,26.489426369863,20.2235102739726,140.420873287671
1901,7,1901.541666666,"Sum",17.5479965753425,30.0880136986301,23.8180051369863,133.189417808219
1901,8,1901.62499999933,"Sum",15.6459760273973,27.0055650684932,21.3257705479452,220.985933219178
1901,9,1901.70833333267,"Fal",9.95158390410959,22.602448630137,16.2770162671233,93.9727482876712
1901,10,1901.791666666,"Fal",4.48653253424658,18.9176883561644,11.7021104452055,22.8304794520548
1901,11,1901.87499999933,"Fal",-2.59732020547945,8.51,2.95633989726027,65.4759760273973
1901,12,1901.95833333267,"Win",-7.07934931506849,5.00642123287671,-1.03646404109589,180.176446917808
1902,1,1902.041666666,"Win",-7.75756849315069,3.70047089041096,-2.02854880136986,90.8466609589041
