"cYr","pptAvg","tminAvg","tmaxAvg","tmeanAvg","tAvg"
1900,1697.2023595879,4.81005040434253,17.2879223440789,11.0489863742107,11.0489863742107
1901,1994.67919906946,3.41093857316938,15.8218588678409,9.61639872050515,9.61639872050515
1902,1390.88279827185,4.63131383626897,16.9591805140135,10.7952471751412,10.7952471751412
1903,1700.70774675972,4.26882934529744,16.6472720726709,10.4580507089842,10.4580507089842
1904,1227.31202060485,3.80470366677745,16.6605788190983,10.2326412429378,10.2326412429379
1905,1642.49321369226,4.68537000110779,16.6202187880802,10.652794394594,10.652794394594
1906,2001.48666001994,4.92328680624793,17.3073222000665,11.1153045031572,11.1153045031572
1907,1415.11662346294,4.71967514124294,17.3114404010192,11.0155577711311,11.0155577711311
1908,1519.17087072117,4.87726681067907,17.6834892544589,11.280378032569,11.280378032569
1909,1793.46510136258,4.52771629555777,17.522693308962,11.0252048022599,11.0252048022599
1910,1503.93693918245,3.88400160629224,16.801080923895,10.3425412650936,10.3425412650936
1911,1564.40763044201,5.63946576935858,18.3358313947048,11.9876485820317,11.9876485820317
1912,1775.04065137919,4.18637531848898,16.6270496842805,10.4067125013847,10.4067125013847
1913,1574.04939514789,4.66707599423951,18.030553616927,11.3488148055833,11.3488148055833
1914,1417.37778664008,4.29267392267641,17.2432624349175,10.7679681787969,10.7679681787969
1915,1727.99583582586,4.39723274620583,16.9896624016838,10.6934475739448,10.6934475739448
1916,1611.19076769691,4.18428076880469,17.4937288135593,10.839004791182,10.839004791182
1917,1721.62129611166,3.13548687271519,16.3034449429489,9.71946590783205,9.71946590783206
1918,1707.95265204387,4.67804973966988,17.4360152874709,11.0570325135704,11.0570325135704
1919,1599.95350614822,4.93728813559322,18.0891010302426,11.5131945829179,11.5131945829179
1920,1881.82525756065,3.99156447324692,16.656990140689,10.324277306968,10.324277306968
1921,1509.3606148222,5.58814750193863,18.8586332668661,12.2233903844023,12.2233903844023
1922,1688.29595214357,5.4595579926886,18.1266932535726,11.7931256231306,11.7931256231306
