"cYr","pptAvg","tminAvg","tmaxAvg","tmeanAvg","tAvg"
1900,984.83390524968,3.62998612889458,15.6809720443875,9.65547908664105,9.65547908664106
1901,1260.36323943662,2.97976845924028,14.1298975672215,8.5548330132309,8.5548330132309
1902,1357.89113956466,2.75714468629962,14.3802614169868,8.56870305164319,8.5687030516432
1903,1375.48685019206,2.66373452838242,14.2377102005975,8.45072236448998,8.45072236448997
1904,1031.38640204866,1.25862889457959,12.8499285104567,7.05427870251813,7.05427870251814
1905,1004.85268886044,2.16660478019632,14.2801205719163,8.22336267605634,8.22336267605633
1906,1097.69583866837,3.16479193341869,14.7841816047802,8.97448676909944,8.97448676909944
1907,1118.24217669654,1.58566474605207,13.5712046521554,7.57843469910371,7.57843469910372
1908,954.924839948784,2.72535211267606,15.3815738369612,9.05346297481861,9.05346297481861
1909,958.163354673496,2.5961971830986,14.7825789586001,8.68938807084934,8.68938807084934
1910,937.210691421255,2.32316901408451,14.9116538625694,8.61741143832693,8.61741143832693
1911,1140.69198463508,2.9329609475032,14.9674103713188,8.95018565941101,8.95018565941102
1912,1064.62839948784,2.16501280409732,14.4105836534358,8.28779822876654,8.28779822876654
1913,1111.50914212548,3.64010243277849,16.2357415706359,9.93792200170721,9.93792200170722
1914,967.75409731114,1.83192915066155,14.4160189927443,8.12397407170295,8.12397407170294
1915,1150.97941101152,2.91699530516432,14.9368960734102,8.92694568928722,8.92694568928724
1916,1047.58750320102,2.1485830132309,14.398125266752,8.27335413999147,8.27335413999147
1917,957.071088348271,1.32453051643193,13.1595635936833,7.24204705505763,7.24204705505762
1918,1026.84145966709,2.13850405463081,15.130263551003,8.6343838028169,8.6343838028169
1919,1190.13162612036,3.19737836107555,15.1206711481007,9.15902475458813,9.15902475458813
1920,1308.81349551856,2.24611609048229,14.2357639778062,8.24094003414426,8.24094003414427
1921,994.185467349552,3.74106594110115,16.5930921895006,10.1670790653009,10.1670790653009
1922,1021.29275288092,2.83327678190355,15.5968960734101,9.21508642765685,9.21508642765685
1923,997.393700384123,2.0960125906957,15.1880089628681,8.6420107767819,8.64201077678191
1924,986.815620998719,1.66987622705932,14.3623154075971,8.01609581732821,8.01609581732821
1925,1086.51457106274,2.42250746905676,15.1754022620572,8.79895486555698,8.79895486555697
